#{"t_start": 1676308483.365213, "env_id": "NetworkManagement-v1"}
r,l,t
-1624.891,100,0.620916
-1606.612,100,1.278632
-1618.477,100,1.889783
-1586.867,100,2.489378
-1542.448,100,3.09316
-1602.381,100,3.695024
-1622.229,100,4.304523
-1546.761,100,4.908777
-1558.241,100,5.500324
-1732.352,100,6.096005
-1686.184,100,6.71319
-1656.62,100,7.340616
-1666.487,100,7.95944
-1674.828,100,8.578831
-1711.412,100,9.206579
-1698.478,100,9.828494
-1667.908,100,10.45326
-1704.477,100,11.09142
-1669.381,100,11.73059
-1719.025,100,12.343677
-1723.422,100,12.97182
-1695.388,100,13.57109
-1717.052,100,14.167921
-1629.914,100,14.762089
-1709.121,100,15.357713
-1648.425,100,15.953613
-1705.72,100,16.550103
-1587.547,100,17.14746
-1654.251,100,17.745013
-1542.48,100,18.342782
-1607.189,100,18.941434
-1577.38,100,19.535982
-1530.367,100,20.131246
-1521.198,100,20.725633
-1575.316,100,21.320815
-1447.653,100,21.915485
-1616.07,100,22.511581
-1564.89,100,23.106218
-1555.745,100,23.705293
-1526.75,100,24.298657
-1625.582,100,24.895197
-1502.399,100,25.49032
-1521.952,100,26.08909
-1521.172,100,26.684176
-1539.303,100,27.281498
-1531.242,100,27.876555
-1558.396,100,28.472284
-1556.055,100,29.067746
-1550.047,100,29.66344
-1577.579,100,30.256065
-1465.52,100,30.829983
-1467.53,100,31.399358
-1462.38,100,31.972017
-1467.76,100,32.553615
-1469.5,100,33.132934
-1605.229,100,33.742473
-1545.004,100,34.341335
-1519.44,100,34.943146
-1623.146,100,35.542976
-1626.701,100,36.140627
-1640.354,100,36.741264
-1535.738,100,37.36795
-1571.033,100,37.982812
-1598.954,100,38.60212
-1488.467,100,39.230591
-1584.339,100,39.883628
-1600.983,100,40.531739
-1554.054,100,41.170914
-1649.632,100,41.781099
-1633.757,100,42.382813
-1556.236,100,42.980717
-1531.756,100,43.572184
-1553.797,100,44.166177
-1631.13,100,44.758642
-1554.087,100,45.351874
-1585.667,100,45.944702
-1580.422,100,46.539856
-1503.449,100,47.133335
-1473.513,100,47.739979
-1533.584,100,48.340615
-1501.927,100,48.932008
-1513.27,100,49.524255
-1502.957,100,50.126274
-1532.084,100,50.722927
-1520.443,100,51.314762
-1438.134,100,51.908389
-1476.867,100,52.500508
-1395.04,100,53.090863
-1416.489,100,53.684381
-1364.002,100,54.27725
-1452.038,100,54.86859
-1347.628,100,55.462147
-1447.481,100,56.055591
-1428.906,100,56.651316
-1362.141,100,57.244183
-1385.189,100,57.838856
-1443.121,100,58.433318
-1414.018,100,59.026795
-1371.465,100,59.619248
-1383.812,100,60.20947
-1316.652,100,60.802155
-1359.11,100,61.39386
-1260.974,100,61.988058
-1310.595,100,62.580232
-1299.982,100,63.17259
-1407.659,100,63.744948
-1401.246,100,64.313236
-1409.547,100,64.895154
-1411.687,100,65.475634
-1407.427,100,66.052518
-1297.162,100,66.668078
-1311.917,100,67.267773
-1340.95,100,67.878542
-1317.777,100,68.473892
-1216.809,100,69.076381
-1227.476,100,69.669612
-1258.599,100,70.263138
-1178.81,100,70.869258
-1273.2,100,71.461925
-1237.725,100,72.063601
-1203.722,100,72.658111
-1132.866,100,73.26516
-1149.016,100,73.867618
-1091.751,100,74.471137
-1159.225,100,75.061888
-1124.287,100,75.654371
-1187.465,100,76.24822
-1139.49,100,76.84438
-1095.323,100,77.440981
-1022.2,100,78.055132
-1124.388,100,78.657045
-1087.191,100,79.251499
-1138.266,100,79.844547
-1159.118,100,80.436639
-1135.713,100,81.027068
-1126.707,100,81.620828
-1131.313,100,82.222576
-1141.994,100,82.823268
-1232.827,100,83.41994
-1091.356,100,84.014413
-1113.528,100,84.612058
-1137.759,100,85.207888
-1164.191,100,85.808427
-1199.722,100,86.401047
-1191.417,100,86.999581
-1143.884,100,87.600026
-1148.403,100,88.194081
